Date,WhHf,ChWhHf,BuWhHf,WhHf Sub,Sn Hf,Sn St,Ur,Notes
10/29/2021,0,0,0,0,0,1,0,
10/29/2021,0,0,0,0,0,1,0,
10/29/2021,0,0,0,0,0,1,0,
10/29/2021,0,0,0,0,0,1,0,
10/29/2021,0,0,0,0,0,1,0,
10/29/2021,0,0,0,0,0,1,0,
10/29/2021,0,0,0,0,0,1,0,
10/29/2021,0,0,0,0,0,1,0,
11/5/2021,0,0,0,0,0,1,0,
11/7/2021,0,0,0,0,0,1,0,
11/7/2021,0,0,0,0,0,1,0,
11/10/2021,0,0,0,0,1,0,0,
11/12/2021,0,0,0,0,1,0,0,
11/12/2021,0,0,0,0,0,1,0,
11/12/2021,0,0,0,0,0,1,0,
11/14/2021,0,0,0,0,0,1,0,
11/14/2021,0,0,0,0,0,1,0,
11/14/2021,0,0,0,0,0,1,0,
11/14/2021,0,0,0,0,0,1,0,
11/14/2021,0,0,0,0,1,0,0,
11/14/2021,0,0,0,0,0,0,0,
11/14/2021,0,0,0,0,0,1,0,
11/15/2021,0,0,0,0,1,0,0,
11/15/2021,1,0,0,0,0,0,0,
11/15/2021,0,0,0,0,0,1,0,
11/15/2021,0,0,0,0,0,1,0,
11/29/2021,0,1,0,0,0,0,0,
11/29/2021,0,1,0,0,0,0,0,
11/29/2021,1,0,0,R,0,0,0,
11/29/2021,1,0,0,R,0,0,0,
11/29/2021,0,0,0,0,1,0,0,
11/29/2021,1,0,0,R,0,0,0,
12/2/2021,0,1,1,0,0,0,0,
12/2/2021,0,1,0,Ba,0,0,0,
12/3/2021,1,0,0,Ba,0,0,0,My
12/3/2021,0,0,0,0,0,1,0,
12/3/2021,1,0,0,Ba,0,0,0,My
12/3/2021,1,0,0,Ba,0,0,0,My
12/3/2021,1,0,0,Ba,0,0,0,MY
12/3/2021,1,0,0,Ba,0,0,0,My
12/4/2021,0,0,0,0,0,1,0,
12/4/2021,1,0,0,Ls,0,0,0,
12/4/2021,0,0,0,0,1,0,1,
12/4/2021,0,0,0,0,0,1,0,
12/4/2021,0,0,0,0,1,0,0,
12/5/2021,0,0,0,0,1,0,0,
12/7/2021,0,1,0,0,1,0,0,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,1,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,1,0,0,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,1,0,0,
12/10/2021,0,0,0,0,1,0,1,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,1,0,0,0,0,0,
12/10/2021,0,0,0,0,1,0,1,
12/10/2021,0,0,0,0,1,0,0,
